Nome_da_Empresa,Status_do_Foguete,Custo_da_Missao,Status_da_Missao,Pais,Estado_Regiao,Ano,Mes,Dia,Hora,Modelo_Foguete,Carga_Util,Pais_Mapa,Status_da_Missao_Num,Status_do_Foguete_Num
SpaceX,StatusRetired,62.0,Success,USA,Florida,2016,3,4,23,Falcon 9 Block 3,SES-9,United States,3,0
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2016,2,17,8,H-IIA 202,"Astro H, Horyu 4 & Kinshachi 2 and 3",Japan,3,1
Eurockot,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2016,2,16,17,Rokot/Briz KM,Sentinel-3A,Russia,3,0
ULA,StatusRetired,123.0,Success,USA,California,2016,2,10,11,"Delta IV Medium+ (5,2)",NROL-45,United States,3,0
KCST,StatusActive,52.5,Success,North Korea,Sohae Satellite Launching Station,2016,2,7,0,Unha-3,Kwangmyngsng-4,North Korea,3,1
VKS RF,StatusActive,48.5,Success,Russia,Plesetsk Cosmodrome,2016,2,7,0,Soyuz 2.1b/Fregat,GLONASS-M No.50S,Russia,3,1
ULA,StatusActive,109.0,Success,USA,Florida,2016,2,5,13,Atlas V 401,GPS IIF-12,United States,3,1
CASC,StatusActive,30.8,Success,China,Xichang Satellite Launch Center,2016,2,1,7,Long March 3C/YZ-1,BeiDou M3-S,China,3,1
ILS,StatusActive,65.0,Success,Kazakhstan,Baikonur Cosmodrome,2016,1,29,22,Proton-M/Briz-M,Eutelsat 9B,Kazakhstan,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2016,1,27,23,Ariane 5 ECA,Intelsat 29e,France,3,1
Blue Origin,StatusActive,52.5,Success,USA,Texas,2016,,,,New Shepard,NS-3,United States,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2016,1,20,4,PSLV-XL,IRNSS-1E,India,3,1
SpaceX,StatusRetired,56.5,Success,USA,California,2016,1,17,18,Falcon 9 v1.1,Jason-3,United States,3,0
CASC,StatusActive,29.15,Success,China,Xichang Satellite Launch Center,2016,1,15,16,Long March 3B/E,Belintersat 1,China,3,1
SpaceX,StatusRetired,62.0,Success,USA,Florida,2015,12,22,1,Falcon 9 Block 3,OG2 Mission 2,United States,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,12,17,11,Soyuz ST-B/Fregat-MT,Galileo FOC FM8-FM9,France,3,1
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2015,12,16,12,PSLV-CA,TeLEOS-1 & Rideshares,India,3,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2015,12,11,13,Zenit-3 SLBF,Elektro-L n†­2,Kazakhstan,3,1
ULA,StatusActive,109.0,Success,USA,Florida,2015,12,6,21,Atlas V 401,CRS OA-4,United States,3,1
VKS RF,StatusActive,41.8,Partial Failure,Russia,Plesetsk Cosmodrome,2015,12,5,14,Soyuz 2.1v/Volga,Cosmos 2511 and 2512,Russia,2,1
Arianespace,StatusActive,37.0,Success,France,French Guiana,2015,12,3,4,Vega,LISA Pathfinder,France,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2015,11,24,6,H-IIA 204,Telstar 12 Vantage,Japan,3,1
Blue Origin,StatusActive,90.0,Success,USA,Texas,2015,,,,New Shepard,NS-2,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,11,10,21,Ariane 5 ECA,"Arabsat 6B, GSAT-15",France,3,1
Sandia,StatusActive,15.0,Failure,Pacific Missile Range Facility,Kauai,2015,,,,Super Stripy,"HiakaSat, STACEM & Others",United States,0,1
ULA,StatusActive,109.0,Success,USA,Florida,2015,10,31,16,Atlas V 401,GPS IIF-11,United States,3,1
ULA,StatusActive,109.0,Success,USA,California,2015,10,8,12,Atlas V 401,NROL-55,United States,3,1
ULA,StatusActive,123.0,Success,USA,Florida,2015,10,2,10,Atlas V 421,Morelos-3,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,9,30,20,Ariane 5 ECA,"NBN Co 1A, ARSAT-2",France,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2015,9,28,4,PSLV-XL,Astrosat & Rideshares,India,3,1
CASC,StatusActive,5.3,Success,China,Jiuquan Satellite Launch Center,2015,,,,Long March 11,Pujian 1 & Others,China,3,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2015,9,23,21,Rokot/Briz KM,Cosmos 2507 to 2509,Russia,3,0
CASC,StatusActive,30.8,Success,China,Taiyuan Satellite Launch Center,2015,9,19,23,Long March 6,Demo Flight,China,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,9,11,2,Soyuz ST-B/Fregat-MT,Galileo FOC FM05-FM06,France,3,1
ULA,StatusActive,153.0,Success,USA,Florida,2015,9,2,10,Atlas V 551,MUOS-4,United States,3,1
ISRO,StatusActive,47.0,Success,India,Satish Dhawan Space Centre,2015,8,27,11,GSLV Mk II,GSAT-6,India,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,8,20,20,Ariane 5 ECA,"Eutelsat 8 West B, Intelsat 34",France,3,1
MHI,StatusRetired,112.5,Success,Japan,Tanegashima Space Center,2015,8,19,11,H-IIB,HTV-5,Japan,3,0
ULA,StatusRetired,123.0,Success,USA,Florida,2015,7,24,0,"Delta IV Medium+ (5,4)",WGS-7,United States,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,7,15,21,Ariane 5 ECA,"Star One C4, MSG-4",France,3,1
ULA,StatusActive,109.0,Success,USA,Florida,2015,7,15,15,Atlas V 401,GPS IIF-10,United States,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2015,7,10,16,PSLV-XL,UK-DMC3A/B/C & Rideshares,India,3,1
SpaceX,StatusRetired,56.5,Failure,USA,Florida,2015,6,28,14,Falcon 9 v1.1,CRS-7,United States,0,0
Arianespace,StatusActive,37.0,Success,France,French Guiana,2015,6,23,1,Vega,Sentinel-2A,France,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,5,27,21,Ariane 5 ECA,"DirecTV-15, Sky Mexico 1",France,3,1
ULA,StatusActive,120.0,Success,USA,Florida,2015,5,20,15,Atlas V 501,OTV-4,United States,3,1
Blue Origin,StatusActive,90.0,Success,USA,Texas,2015,,,,New Shepard,NS-1,United States,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2015,4,27,23,Falcon 9 v1.1,Turkmen??lem52E/MonacoSat,United States,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,4,26,20,Ariane 5 ECA,"Thor 7, SICRAL-2",France,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2015,4,15,20,Falcon 9 v1.1,CRS-6,United States,3,0
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2015,3,31,13,Rokot/Briz KM,Cosmos 2504 & Goniets-M 21 to 23,Russia,3,0
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2015,3,28,11,PSLV-XL,IRNSS-1D,India,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2015,3,27,21,Soyuz ST-B/Fregat-MT,Galileo FOC FM03-FM04,France,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2015,3,26,1,H-IIA 202,IGS-Optical 5,Japan,3,1
Kosmotras,StatusRetired,29.0,Success,Russia,Yasny Cosmodrome,2015,3,25,22,Dnepr,KompSat-3A,Russia,3,0
ULA,StatusRetired,164.0,Success,USA,Florida,2015,3,25,18,"Delta IV Medium+ (4,2)",GPS IIF-9,United States,3,0
ULA,StatusActive,123.0,Success,USA,Florida,2015,3,13,2,Atlas V 421,MMS,United States,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2015,3,2,3,Falcon 9 v1.1,ABS-3A & EUTELSAT 115 West B,United States,3,0
ISA,StatusActive,90.0,Failure,Iran,Semnan Space Center,2015,,,,Safir-1B+,Unknown Payload,Iran,0,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2015,2,11,23,Falcon 9 v1.1,DSCOVR,United States,3,0
Arianespace,StatusActive,37.0,Success,France,French Guiana,2015,2,11,13,Vega,IXV,France,3,1
ISA,StatusActive,90.0,Success,Iran,Semnan Space Center,2015,,,,Safir-1B+,Fajr,Iran,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2015,2,1,1,H-IIA 202,IGS-Radar 5,Japan,3,1
ULA,StatusRetired,123.0,Success,USA,California,2015,1,31,14,Delta II 7320-10C,SMAP / ELaNa X,United States,3,0
ULA,StatusActive,153.0,Success,USA,Florida,2015,1,21,1,Atlas V 551,MUOS-3,United States,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2015,1,10,9,Falcon 9 v1.1,CRS-5,United States,3,0
Khrunichev,StatusActive,90.0,Success,Russia,Plesetsk Cosmodrome,2014,12,23,5,Angara A5/Briz-M,Demo Flight,Russia,3,1
VKS RF,StatusRetired,41.8,Success,Kazakhstan,Baikonur Cosmodrome,2014,12,19,4,Strela,Kondor-E,Kazakhstan,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,12,18,18,Soyuz ST-B/Fregat-MT,O3b FM09-FM12,France,3,1
ISRO,StatusActive,62.0,Success,India,Satish Dhawan Space Centre,2014,12,18,4,GSLV Mk III,Demo Flight (CARE),India,3,1
ULA,StatusActive,145.0,Success,USA,California,2014,12,13,3,Atlas V 541,NROL-35,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,12,6,20,Ariane 5 ECA,"DirecTV-14, GSAT-16",France,3,1
ULA,StatusActive,350.0,Success,USA,Florida,2014,12,5,12,Delta IV Heavy,EFT-1,United States,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2014,12,3,4,H-IIA 202,Hayabusa 2 & Others,Japan,3,1
CASIC,StatusRetired,90.0,Success,China,Jiuquan Satellite Launch Center,2014,11,21,6,Kuaizhou 1,Kuaizhou 2,China,3,0
Kosmotras,StatusRetired,29.0,Success,Russia,Yasny Cosmodrome,2014,11,6,7,Dnepr,Sasuke & Others,Russia,3,0
ULA,StatusActive,109.0,Success,USA,Florida,2014,10,29,17,Atlas V 401,GPS IIF-8,United States,3,1
Northrop,StatusRetired,80.0,Failure,USA,Virginia,2014,10,28,22,Antares 130,CRS Orb-3,United States,0,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,10,16,21,Ariane 5 ECA,"Intelsat 30, ARSAT-1",France,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2014,10,16,20,PSLV-XL,IRNSS-1C,India,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2014,10,7,5,H-IIA 202,Himawari 8,Japan,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2014,9,21,5,Falcon 9 v1.1,CRS-4,United States,3,0
ULA,StatusActive,109.0,Success,USA,Florida,2014,9,17,0,Atlas V 401,CLIO,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,9,11,22,Ariane 5 ECA,"MEASAT 3b, Optus 10",France,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2014,9,7,5,Falcon 9 v1.1,AsiaSat 6,United States,3,0
Arianespace,StatusActive,200.0,Partial Failure,France,French Guiana,2014,8,22,12,Soyuz ST-B/Fregat-MT,Galileo FOC FM01-FM02,France,2,1
ULA,StatusActive,109.0,Success,USA,California,2014,8,13,18,Atlas V 401,WorldView 3,United States,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2014,8,5,8,Falcon 9 v1.1,AsiaSat 8,United States,3,0
ULA,StatusActive,109.0,Success,USA,Florida,2014,8,2,3,Atlas V 401,GPS IIF-7,United States,3,1
Arianespace,StatusRetired,200.0,Success,France,French Guiana,2014,7,29,23,Ariane 5 ES,Georges Lema??tre ATV,France,3,0
ULA,StatusRetired,164.0,Success,USA,Florida,2014,7,28,23,"Delta IV Medium+ (4,2)",AFSPC-4,United States,3,0
SpaceX,StatusRetired,56.5,Success,USA,Florida,2014,7,14,15,Falcon 9 v1.1,OG2 Mission 1,United States,3,0
Northrop,StatusRetired,80.0,Success,USA,Virginia,2014,7,13,16,Antares 120,CRS Orb-2,United States,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,7,10,18,Soyuz ST-B/Fregat-MT,O3b FM03/FM06-FM08,France,3,1
VKS RF,StatusActive,41.8,Success,Russia,Plesetsk Cosmodrome,2014,7,9,12,Angara 1.2,Demo Flight,Russia,3,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2014,7,3,12,Rokot/Briz KM,Goniets-M 18 to 20,Russia,3,0
ULA,StatusRetired,123.0,Success,USA,California,2014,7,2,9,Delta II 7320-10C,OCO-2,United States,3,0
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2014,6,30,4,PSLV-CA,SPOT-7 & Rideshares,India,3,1
Kosmotras,StatusRetired,29.0,Success,Russia,Yasny Cosmodrome,2014,6,19,19,Dnepr,Deimos 2,Russia,3,0
Sea Launch,StatusActive,90.0,Success,Pacific Ocean,Kiritimati Launch Area,2014,5,24,21,Zenit-3 SL,Eutelsat-3B,International Waters,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2014,5,24,3,H-IIA 202,"Daichi 2, SPROUT & Others",Japan,3,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2014,5,23,5,Rokot/Briz KM,Cosmos 2496 to 2499,Russia,3,0
ULA,StatusActive,109.0,Success,USA,Florida,2014,5,22,13,Atlas V 401,NROL-33,United States,3,1
ULA,StatusRetired,164.0,Success,USA,Florida,2014,5,17,0,"Delta IV Medium+ (4,2)",GPS IIF-6,United States,3,0
Arianespace,StatusActive,37.0,Success,France,French Guiana,2014,4,30,1,Vega,KazEOSat-1,France,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2014,4,18,19,Falcon 9 v1.1,CRS-3,United States,3,0
ULA,StatusActive,145.0,Success,USA,Florida,2014,4,10,17,Atlas V 541,NROL-67,United States,3,1
IAI,StatusActive,90.0,Success,Israel,Palmachim Airbase,2014,,,,Shavit-2,Ofek-10,Israel,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2014,4,4,11,PSLV-XL,IRNSS-1B,India,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,4,3,21,Soyuz ST-A/Fregat-M,Sentinel 1A,France,3,1
ULA,StatusActive,109.0,Success,USA,California,2014,4,3,14,Atlas V 401,DMSP-5D3 F19,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,3,22,22,Ariane 5 ECA,"Astra 5B, Amazonas 4A",France,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2014,2,27,18,H-IIA 202,GPM-Core & Others,Japan,3,1
ULA,StatusRetired,164.0,Success,USA,Florida,2014,2,21,1,"Delta IV Medium+ (4,2)",GPS IIF-5,United States,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2014,2,6,21,Ariane 5 ECA,"ABS-2, Athena-Fidus",France,3,1
ULA,StatusActive,109.0,Success,USA,Florida,2014,1,24,2,Atlas V 401,TDRS-L,United States,3,1
Northrop,StatusRetired,80.0,Success,USA,Virginia,2014,1,9,18,Antares 120,CRS Orb-1,United States,3,0
SpaceX,StatusRetired,56.5,Success,USA,Florida,2014,1,6,22,Falcon 9 v1.1,Thaicom 6,United States,3,0
ISRO,StatusActive,47.0,Success,India,Satish Dhawan Space Centre,2014,1,5,10,GSLV Mk II,GSAT-14,India,3,1
VKS RF,StatusActive,41.8,Success,Russia,Plesetsk Cosmodrome,2013,12,28,12,Soyuz 2.1v/Volga,Cosmos 2492 and 2493 & AIST-1 1,Russia,3,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2013,12,25,0,Rokot/Briz KM,Cosmos 2488 to 2491,Russia,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2013,12,19,9,Soyuz ST-B/Fregat-MT,Gaia,France,3,1
ULA,StatusActive,120.0,Success,USA,California,2013,12,6,7,Atlas V 501,NROL-39,United States,3,1
SpaceX,StatusRetired,56.5,Success,USA,Florida,2013,12,3,22,Falcon 9 v1.1,SES-8,United States,3,0
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2013,11,22,12,Rokot/Briz KM,SWARM,Russia,3,0
Kosmotras,StatusRetired,29.0,Success,Russia,Yasny Cosmodrome,2013,11,21,7,Dnepr,DubaiSat 2 & Others,Russia,3,0
Northrop,StatusActive,40.0,Success,USA,Virginia,2013,11,20,1,Minotaur I,ORS-3,United States,3,1
ULA,StatusActive,109.0,Success,USA,Florida,2013,11,18,18,Atlas V 401,MAVEN,United States,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2013,11,5,9,PSLV-XL,Mars Orbiter Mission,India,3,1
SpaceX,StatusRetired,56.5,Success,USA,California,2013,9,29,16,Falcon 9 v1.1,CASSIOPE,United States,3,0
CASIC,StatusRetired,72.5,Success,China,Jiuquan Satellite Launch Center,2013,9,25,4,Kuaizhou 1,Kuaizhou 1,China,3,0
ULA,StatusActive,140.0,Success,USA,Florida,2013,9,18,8,Atlas V 531,AEHF-3,United States,3,1
JAXA,StatusRetired,39.0,Success,Japan,Uchinoura Space Center,2013,9,14,5,Epsilon Demo,SPRINT-A,Japan,3,0
Northrop,StatusRetired,80.0,Success,USA,Virginia,2013,9,13,14,Antares 110,CRS Orb-D1,United States,3,0
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2013,9,11,23,Rokot/Briz KM,"Goniets-M 14, 16 and 17",Russia,3,0
Northrop,StatusActive,55.0,Success,USA,Virginia,2013,9,7,3,Minotaur V,LADEE,United States,3,1
Land Launch,StatusActive,72.5,Success,Kazakhstan,Baikonur Cosmodrome,2013,8,31,20,Zenit-3 SLB,AMOS 4,Kazakhstan,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2013,8,29,20,Ariane 5 ECA,"Eutelsat 25B/Es'hail 1, GSAT-7",France,3,1
ULA,StatusActive,350.0,Success,USA,California,2013,8,28,18,Delta IV Heavy,NROL-65,United States,3,1
Kosmotras,StatusRetired,29.0,Success,Russia,Yasny Cosmodrome,2013,8,22,14,Dnepr,KompSat-5,Russia,3,0
ULA,StatusRetired,123.0,Success,USA,Florida,2013,8,8,0,"Delta IV Medium+ (5,4)",WGS-6,United States,3,0
MHI,StatusRetired,112.5,Success,Japan,Tanegashima Space Center,2013,8,3,19,H-IIB,HTV-4,Japan,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2013,7,25,19,Ariane 5 ECA,"Alphasat I-XL, INSAT-3D",France,3,1
ULA,StatusActive,153.0,Success,USA,Florida,2013,7,19,13,Atlas V 551,MUOS-2,United States,3,1
VKS RF,StatusActive,65.0,Failure,Kazakhstan,Baikonur Cosmodrome,2013,7,2,2,Proton-M/DM-3,"Cosmos 2488, 2489 & 2490",Kazakhstan,0,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2013,7,1,18,PSLV-XL,IRNSS-1A,India,3,1
Northrop,StatusActive,40.0,Success,USA,California,2013,6,28,2,Pegasus XL,IRIS,United States,3,1
VKS RF,StatusRetired,41.8,Success,Kazakhstan,Baikonur Cosmodrome,2013,6,27,16,Strela,Cosmos 2487,Kazakhstan,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2013,6,25,19,Soyuz ST-B/Fregat-MT,O3b FM01-FM02/FM04-FM05,France,3,1
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,2013,6,11,9,Long March 2F/G,Shenzhou 10,China,3,1
Arianespace,StatusRetired,200.0,Success,France,French Guiana,2013,6,5,21,Ariane 5 ES,Albert Einstein ATV,France,3,0
ULA,StatusRetired,123.0,Success,USA,Florida,2013,5,25,0,"Delta IV Medium+ (5,4)",WGS-5,United States,3,0
ULA,StatusActive,109.0,Success,USA,Florida,2013,5,15,21,Atlas V 401,GPS IIF-4,United States,3,1
Arianespace,StatusActive,37.0,Success,France,French Guiana,2013,5,7,2,Vega,"Proba-V, VNREDSat-1A & ESTCube-1",France,3,1
Northrop,StatusRetired,80.0,Success,USA,Virginia,2013,4,21,21,Antares 110,Antares A-ONE,United States,3,0
ULA,StatusActive,109.0,Success,USA,Florida,2013,3,19,21,Atlas V 401,SBIRS GEO-2,United States,3,1
SpaceX,StatusRetired,59.5,Success,USA,Florida,2013,3,1,15,Falcon 9 v1.0,CRS-2,United States,3,0
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2013,2,25,12,PSLV-CA,SARAL & Rideshares,India,3,1
ULA,StatusActive,109.0,Success,USA,California,2013,2,11,18,Atlas V 401,Landsat 8,United States,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2013,2,7,21,Ariane 5 ECA,"Amazonas-3, Azerspace-1 (Africasat-1A)",France,3,1
Sea Launch,StatusActive,72.5,Failure,Pacific Ocean,Kiritimati Launch Area,2013,2,1,6,Zenit-3 SL,Intelsat-27,International Waters,0,1
ULA,StatusActive,109.0,Success,USA,Florida,2013,1,31,1,Atlas V 401,TDRS-K,United States,3,1
KARI,StatusRetired,72.5,Success,South Korea,Naro Space Center,2013,1,30,7,Naro-1,STSAT-2C,South Korea,3,0
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2013,1,27,4,H-IIA 202,IGS-Optical 5V & IGS-Radar 4,Japan,3,1
VKS RF,StatusRetired,41.8,Partial Failure,Russia,Plesetsk Cosmodrome,2013,1,15,16,Rokot/Briz KM,Cosmos 2482 to 2484,Russia,2,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2012,12,19,21,Ariane 5 ECA,"Skynet 5D, Mexsat-3",France,3,1
KCST,StatusActive,116.25,Success,North Korea,Sohae Satellite Launching Station,2012,12,12,0,Unha-3,Kwangmyngsng-3 (Unit 2),North Korea,3,1
ULA,StatusActive,120.0,Success,USA,Florida,2012,12,11,18,Atlas V 501,OTV-3,United States,3,1
Sea Launch,StatusActive,116.25,Success,Pacific Ocean,Kiritimati Launch Area,2012,12,3,20,Zenit-3 SL,Eutelsat-70B,International Waters,3,1
Arianespace,StatusActive,80.0,Success,France,French Guiana,2012,12,2,2,Soyuz ST-A/Fregat,Pl??iades 1B,France,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2012,11,10,21,Ariane 5 ECA,"Eutelsat 21B, Star One C3",France,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2012,10,12,15,Soyuz ST-B/Fregat-MT,Galileo IOV FM03-FM04,France,3,1
SpaceX,StatusRetired,59.5,Partial Failure,USA,Florida,2012,10,8,0,Falcon 9 v1.0,CRS-1,United States,2,0
ULA,StatusRetired,164.0,Success,USA,Florida,2012,10,4,12,"Delta IV Medium+ (4,2)",GPS IIF-3,United States,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2012,9,28,21,Ariane 5 ECA,"Astra 2F, GSAT-10",France,3,1
ISA,StatusActive,116.25,Failure,Iran,Semnan Space Center,2012,,,,Safir-1B+,Unknown Payload,Iran,0,1
ULA,StatusActive,109.0,Success,USA,California,2012,9,13,21,Atlas V 401,NROL-36,United States,3,1
ISRO,StatusActive,21.0,Success,India,Satish Dhawan Space Centre,2012,9,9,4,PSLV-CA,SPOT-6 & mRESINS & PROITERES,India,3,1
ULA,StatusActive,109.0,Success,USA,Florida,2012,8,30,8,Atlas V 401,Van Allen Probes (RBSP),United States,3,1
Sea Launch,StatusActive,116.25,Success,Pacific Ocean,Kiritimati Launch Area,2012,8,19,6,Zenit-3 SL,Intelsat-21,International Waters,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2012,8,2,20,Ariane 5 ECA,"Intelsat 20, HYLAS 2",France,3,1
VKS RF,StatusRetired,41.8,Success,Russia,Plesetsk Cosmodrome,2012,7,28,1,Rokot/Briz KM,Cosmos 2481 & Goniets-M 13 and 15,Russia,3,0
MHI,StatusRetired,112.5,Success,Japan,Tanegashima Space Center,2012,7,21,2,H-IIB,HTV-3,Japan,3,0
Arianespace,StatusActive,200.0,Success,France,French Guiana,2012,7,5,21,Ariane 5 ECA,"EchoStar XVII, MSG-3",France,3,1
ULA,StatusActive,350.0,Success,USA,Florida,2012,6,29,13,Delta IV Heavy,NROL-15,United States,3,1
ULA,StatusActive,109.0,Success,USA,Florida,2012,6,20,12,Atlas V 401,NROL-38,United States,3,1
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,2012,6,16,10,Long March 2F/G,Shenzhou 9,China,3,1
Northrop,StatusActive,40.0,Success,USA,Marshall Islands,2012,6,13,16,Pegasus XL,NuSTAR,United States,3,1
Sea Launch,StatusActive,116.25,Success,Pacific Ocean,Kiritimati Launch Area,2012,6,1,5,Zenit-3 SL,Intelsat-19,International Waters,3,1
ISA,StatusActive,116.25,Failure,Iran,Semnan Space Center,2012,,,,Safir-1B+,Unknown Payload,Iran,0,1
SpaceX,StatusRetired,59.5,Success,USA,Florida,2012,5,22,7,Falcon 9 v1.0,COTS-2+,United States,3,0
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2012,5,17,16,H-IIA 202,"Shizuku, KOMPSAT 3 & Others",Japan,3,1
Arianespace,StatusActive,200.0,Success,France,French Guiana,2012,5,15,22,Ariane 5 ECA,"JCSAT-13, Vinasat-2",France,3,1
ULA,StatusActive,140.0,Success,USA,Florida,2012,5,4,18,Atlas V 531,AEHF-2,United States,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2012,4,26,0,PSLV-XL,RISAT-1,India,3,1
ISRO,StatusActive,31.0,Success,India,Satish Dhawan Space Centre,2012,,,,PSLV-XL,PSLV- C19 RISAT-1,India,3,1
KCST,StatusActive,116.25,Failure,North Korea,Sohae Satellite Launching Station,2012,4,12,22,Unha-3,Kwangmyngsng-3,North Korea,0,1
ULA,StatusRetired,123.0,Success,USA,California,2012,4,3,23,"Delta IV Medium+ (5,2)",NROL-25,United States,3,0
Arianespace,StatusRetired,200.0,Success,France,French Guiana,2012,3,23,4,Ariane 5 ES,Edoardo Amaldi ATV,France,3,0
ULA,StatusActive,153.0,Success,USA,Florida,2012,2,24,22,Atlas V 551,MUOS-1,United States,3,1
ESA,StatusActive,37.0,Success,France,French Guiana,2012,2,13,10,Vega,"Lares, AlmaSat-1 & 7 cubesats",France,3,1
ISA,StatusRetired,116.25,Success,Iran,Semnan Space Center,2012,,,,Safir-1B,Navid,Iran,3,0
ULA,StatusRetired,123.0,Success,USA,Florida,2012,1,20,0,"Delta IV Medium+ (5,4)",WGS-4,United States,3,0
Arianespace,StatusActive,80.0,Success,France,French Guiana,2011,12,17,2,Soyuz ST-A/Fregat,"Pl??iades 1A, SSOT, Elisa",France,3,1
MHI,StatusActive,90.0,Success,Japan,Tanegashima Space Center,2011,12,12,1,H-IIA 202,IGS-Radar 3,Japan,3,1
ULA,StatusActive,145.0,Success,USA,Florida,2011,11,26,15,Atlas V 541,Mars Science Laboratory,United States,3,1
Roscosmos,StatusActive,48.5,Success,Kazakhstan,Baikonur Cosmodrome,2011,11,8,20,Zenit-2 FG,Fobos-Grunt & Yinghuo 1,Kazakhstan,3,1
CASC,StatusActive,30.8,Success,China,Jiuquan Satellite Launch Center,2011,10,31,21,Long March 2F/G,Shenzhou 8,China,3,1
ULA,StatusRetired,123.0,Success,USA,California,2011,10,28,9,Delta II 7920-10C,Suomi NPP / ELaNa III,United States,3,0
